YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
2011 01 05 11 50 293  7.0  9.1  1.17  5.56  4.49 999 9999.0   1.3   6.7 999.0 99.0 99.00
2011 01 05 12 50 293  8.6 11.3  1.24  5.56  4.35 999 9999.0   1.3   6.7 999.0 99.0 99.00
2011 01 05 13 50 292  8.3 10.0  1.24  5.26  4.17 999 9999.0   2.4   6.7 999.0 99.0 99.00
2011 01 05 14 50 295  8.3 10.7  1.27  5.00  4.18 999 9999.0   3.1   6.7 999.0 99.0 99.00
2011 01 05 15 50 294  9.4 11.3  1.58  5.00  4.56 999 9999.0   2.6   6.7 999.0 99.0 99.00
2011 01 05 16 50 290  8.5 10.7  1.70  5.56  4.65 999 9999.0   2.8   6.7 999.0 99.0 99.00
2011 01 05 17 50 293  8.1 10.1  1.56  5.88  4.48 999 9999.0   3.1   6.7 999.0 99.0 99.00
2011 01 05 18 50 285  9.9 12.7  1.55  5.88  4.48 999 9999.0   2.6   6.7 999.0 99.0 99.00
2011 01 05 19 50 272  9.5 11.9  1.50  5.56  4.42 999 9999.0   2.4   6.7 999.0 99.0 99.00
2011 01 05 20 50 291  8.9 11.0  1.72  5.56  4.53 999 9999.0   1.7   6.7 999.0 99.0 99.00
2011 01 05 21 50 277  8.7 10.3  1.70  5.88  4.43 999 9999.0  -0.3   6.7 999.0 99.0 99.00
2011 01 05 22 50 278 10.5 13.7  1.46  5.56  4.34 999 9999.0   1.6   6.7 999.0 99.0 99.00
2011 01 05 23 50 283 11.5 15.3  1.52  5.26  4.34 999 9999.0   1.6   6.7 999.0 99.0 99.00
2011 01 06 00 50 292 11.3 13.8  1.91  5.56  4.66 999 9999.0   1.1   6.7 999.0 99.0 99.00
2011 01 06 01 50 282  9.7 11.5  1.90  6.25  4.82 999 9999.0   0.9   6.7 999.0 99.0 99.00
2011 01 06 02 50 274  9.9 13.3  1.79  6.25  4.67 999 9999.0   0.7   6.7 999.0 99.0 99.00
2011 01 06 03 50 281  9.2 11.7  2.13  6.25  5.09 999 9999.0  -0.1   6.7 999.0 99.0 99.00
2011 01 06 04 50 270  8.6 11.4  1.79  5.88  4.80 999 9999.0  -0.4   6.7 999.0 99.0 99.00
2011 01 06 05 50 288  7.4  9.7  1.55  6.25  4.57 999 9999.0  -1.1   6.7 999.0 99.0 99.00
2011 01 06 06 50 279  6.3  8.9  1.54  6.25  4.53 999 9999.0  -1.4   6.7 999.0 99.0 99.00
2011 01 06 07 50 287  6.4  8.4  1.40  5.56  4.48 999 9999.0  -1.5   6.7 999.0 99.0 99.00
2011 01 06 08 50 286  5.4  7.7  1.39  5.88  4.61 999 9999.0  -2.1   6.7 999.0 99.0 99.00
2011 01 06 09 50 298  5.1  6.9  1.23  5.56  4.25 999 9999.0  -1.9   6.7 999.0 99.0 99.00
2011 01 06 10 50 315  5.7  8.4  1.26  5.56  4.38 999 9999.0  -2.5   6.7 999.0 99.0 99.00
2011 01 06 11 50 304  3.7  6.0  1.19  5.56  4.24 999 9999.0  -2.6   6.6 999.0 99.0 99.00
2011 01 06 12 50 339  2.8  4.7  1.14  5.56  4.50 999 9999.0  -2.7   6.7 999.0 99.0 99.00
2011 01 06 13 50 303  1.1  2.8  0.98  5.26  4.33 999 9999.0  -2.3   6.7 999.0 99.0 99.00
2011 01 06 14 50 243  1.2  3.9  0.90  5.26  4.38 999 9999.0  -2.6   6.6 999.0 99.0 99.00
