"","FIPS","County","Pop_Total","Pop_Urban","Pop_Rural","Pop_Rural_Farm","Pop_Rural_Nonfarm","Type","Pop_Male","Male_00_09","Male_10_19","Male_20_29","Male_30_39","Male_40_49","Male_50_59","Male_60_69","Male_70_79","Male_80_up","Pop_Female","Female_00_09","Female_10_19","Female_20_29","Female_30_39","Female_40_49","Female_50_59","Female_60_69","Female_70_79","Female_80_up","Male_Degree","Female_Degree","Pop_degree","Median_household_income","Total_median_earnings","Male_median_earnings","Female_median_earnings","Total_aggregate_earnings","Male_aggregate_earnings","Female_aggregate_earnings"
"268",230050040024,"Cumberland",1180,153,1027,NA,1027,"Rural",620,93,112,91,94,119,55,12,37,7,560,76,84,38,110,122,61,29,32,8,0.31092437,0.273224044,0.291839557,71029,30781,37917,17303,29983700,22366400,7617300
"269",230050040025,"Cumberland",1679,1136,543,NA,543,"Urban",788,117,163,53,117,158,116,57,0,7,891,154,156,80,117,195,111,32,37,9,0.442827443,0.377981651,0.408382066,54453,26190,36699,17173,31231100,21377700,9853400
"270",230050041001,"Cumberland",2213,NA,2213,NA,2213,"Rural",1103,163,231,111,207,231,67,73,20,0,1110,206,124,99,237,262,79,33,58,12,0.332307692,0.323848238,0.327809798,56094,28455,31042,23300,50395200,32199200,18195900
"271",230050041002,"Cumberland",1467,33,1434,13,1421,"Rural",700,108,145,58,106,127,81,48,27,0,767,123,155,66,132,114,96,47,22,12,0.260869565,0.304068522,0.283768445,56250,24722,29519,20250,24634600,14448700,10185900
"272",230050041003,"Cumberland",1416,345,1071,NA,1071,"Rural",695,91,88,88,112,106,103,64,30,13,721,40,161,74,139,91,60,84,47,25,0.218367347,0.193939394,0.206091371,45119,23425,32917,14681,24041700,17213000,6828700
"273",230050042001,"Cumberland",2035,1306,729,NA,729,"Urban",1001,94,122,79,103,147,212,98,110,36,1034,96,132,42,94,187,236,93,108,46,0.497925311,0.454188482,0.475453934,63056,30051,42188,19306,49285900,35808300,13477600
"274",230050042002,"Cumberland",1651,1478,173,NA,173,"Urban",738,175,91,12,100,166,104,67,23,0,913,182,109,39,128,163,109,104,53,26,0.598272138,0.485530547,0.533640553,64194,35474,42639,28942,42059600,27378700,14680900
"275",230050042003,"Cumberland",1190,114,1076,NA,1076,"Rural",584,52,164,52,29,149,75,30,33,0,606,77,140,17,85,169,56,46,16,0,0.479108635,0.624338624,0.553595658,83266,36432,41591,28897,34229700,24314800,9915000
"276",230050042004,"Cumberland",2283,NA,2283,6,2277,"Rural",1150,238,205,54,166,300,105,34,48,0,1133,189,223,45,208,255,90,59,50,14,0.522962963,0.439306358,0.480614484,71563,29643,41589,19792,58901300,43655600,15245700
"277",230050044011,"Cumberland",1110,1110,NA,NA,NA,"Urban",556,93,87,56,48,113,78,57,24,0,554,65,112,25,66,132,89,24,41,0,0.516129032,0.549071618,0.533426184,51118,25690,26811,22055,29349400,20033100,9316300
"278",230050044012,"Cumberland",464,464,NA,NA,NA,"Urban",211,14,58,38,23,53,15,0,0,10,253,28,25,38,33,75,31,0,5,18,0.633587786,0.775280899,0.715210356,65625,32222,30417,34464,11292900,6131300,5161700
"279",230050044013,"Cumberland",1059,1059,NA,NA,NA,"Urban",512,75,105,9,41,139,69,12,33,29,547,101,49,0,95,92,66,45,38,61,0.665662651,0.584382872,0.621399177,62813,41375,60739,28681,26968100,19983400,6984700
"280",230050044014,"Cumberland",1061,1061,NA,NA,NA,"Urban",456,56,66,21,80,99,72,23,27,12,605,59,96,25,95,100,85,67,46,32,0.281733746,0.376146789,0.335968379,53424,26958,39412,20694,26060200,19338700,6721500
"281",230050044015,"Cumberland",658,384,274,NA,274,"Urban",329,43,45,15,43,30,75,17,56,5,329,42,43,12,40,65,45,47,25,10,0.597345133,0.537815126,0.566810345,60341,26417,40139,22167,14590200,10816000,3774200
"282",230050044016,"Cumberland",620,620,NA,NA,NA,"Urban",275,12,40,56,57,44,34,11,21,0,345,32,31,107,65,32,22,10,29,17,0.324742268,0.433476395,0.384074941,31957,18125,40625,13052,11039000,7476500,3562500
"283",230050044021,"Cumberland",1112,1112,NA,NA,NA,"Urban",491,97,23,60,74,78,71,25,48,15,621,52,71,76,98,94,60,65,37,68,0.586705202,0.49790795,0.535194175,42163,28516,38864,25046,26726700,18596300,8130400
"284",230050044022,"Cumberland",1612,1518,94,NA,94,"Urban",833,109,126,56,124,151,109,121,31,6,779,64,102,32,115,144,159,83,60,20,0.804537522,0.699836868,0.750421585,89519,33565,45417,26618,59038900,41251600,17787300
"285",230050044023,"Cumberland",664,347,317,NA,317,"Urban",333,33,52,9,25,65,73,47,23,6,331,25,45,13,71,76,35,46,15,5,0.685483871,0.576612903,0.631048387,76368,40500,51000,32813,28234800,21102800,7132000
"286",230050045001,"Cumberland",953,953,NA,NA,NA,"Urban",447,45,63,69,64,77,56,29,33,11,506,45,75,84,70,81,57,38,11,45,0.321656051,0.380952381,0.352307692,36776,21275,28889,18750,17919900,10155800,7764000
