STATION,STATION_NAME,DATE,CLDD,HTDD,TPCP,TSNW,EMXT,EMNT,MMXT,MMNT,MNTM
GHCND:USC00179826,WATERVILLE WWTP ME US,19500701,788,52,525,0,322,83,273,140,207
GHCND:USC00179826,WATERVILLE WWTP ME US,19500801,473,212,996,0,317,67,261,122,191
GHCND:USC00179826,WATERVILLE WWTP ME US,19500901,29,1777,512,0,278,-22,186,64,125
GHCND:USC00179826,WATERVILLE WWTP ME US,19501001,0,2870,589,0,283,-56,149,32,90
GHCND:USC00179826,WATERVILLE WWTP ME US,19501101,0,3983,2257,0,228,-89,106,-6,50
GHCND:USC00179826,WATERVILLE WWTP ME US,19501201,0,6345,1338,127,161,-200,21,-64,-22
GHCND:USC00179826,WATERVILLE WWTP ME US,19510101,0,7468,625,382,89,-278,2,-118,-58
GHCND:USC00179826,WATERVILLE WWTP ME US,19510201,0,6648,965,216,111,-261,4,-113,-54
GHCND:USC00179826,WATERVILLE WWTP ME US,19510301,0,5674,669,134,156,-161,45,-45,0
GHCND:USC00179826,WATERVILLE WWTP ME US,19510401,0,3312,1728,0,200,-33,119,26,73
GHCND:USC00179826,WATERVILLE WWTP ME US,19510501,61,1573,554,0,311,-11,205,58,133
GHCND:USC00179826,WATERVILLE WWTP ME US,19510601,193,630,314,0,311,39,231,106,168
GHCND:USC00179826,WATERVILLE WWTP ME US,19510701,813,128,1392,0,322,100,267,143,205
GHCND:USC00179826,WATERVILLE WWTP ME US,19510801,503,92,1073,0,300,89,260,133,196
GHCND:USC00179826,WATERVILLE WWTP ME US,19510901,144,956,750,0,300,6,226,86,156
GHCND:USC00179826,WATERVILLE WWTP ME US,19511001,0,2808,901,0,228,-50,152,33,92
GHCND:USC00179826,WATERVILLE WWTP ME US,19511101,0,5045,1550,115,189,-167,67,-37,15
GHCND:USC00179826,WATERVILLE WWTP ME US,19511201,0,7517,1081,409,133,-306,7,-125,-59
GHCND:USC00179826,WATERVILLE WWTP ME US,19520101,0,7607,1068,310,83,-239,0,-125,-62
GHCND:USC00179826,WATERVILLE WWTP ME US,19520201,0,6891,790,697,72,-194,0,-109,-55
GHCND:USC00179826,WATERVILLE WWTP ME US,19520301,0,5750,501,128,117,-172,42,-47,-2
GHCND:USC00179826,WATERVILLE WWTP ME US,19520401,0,3349,540,0,222,-33,129,14,71
GHCND:USC00179826,WATERVILLE WWTP ME US,19520501,0,2217,893,0,272,-11,170,53,112
GHCND:USC00179826,WATERVILLE WWTP ME US,19520601,279,173,759,0,300,67,251,122,187
GHCND:USC00179826,WATERVILLE WWTP ME US,19520701,1578,22,76,0,361,78,312,154,233
GHCND:USC00179826,WATERVILLE WWTP ME US,19520801,859,141,628,0,356,67,275,137,206
GHCND:USC00179826,WATERVILLE WWTP ME US,19520901,111,966,748,0,306,6,224,85,154
GHCND:USC00179826,WATERVILLE WWTP ME US,19521001,0,3069,717,0,222,-56,146,22,84
GHCND:USC00179826,WATERVILLE WWTP ME US,19521101,0,4668,482,38,189,-89,76,-22,27
GHCND:USC00179826,WATERVILLE WWTP ME US,19521201,0,6380,1246,50,78,-183,21,-67,-23
GHCND:USC00179826,WATERVILLE WWTP ME US,19530101,0,6920,904,165,128,-172,16,-97,-40
GHCND:USC00179826,WATERVILLE WWTP ME US,19530201,0,6158,736,151,111,-178,21,-95,-37
GHCND:USC00179826,WATERVILLE WWTP ME US,19530301,0,5578,2066,115,200,-194,52,-45,3
